Date; BIAT ; MNP ; TAIR ; UMED 
14/02/2020;116.2;7.8;0.72;9.99
17/02/2020;119.0;7.8;0.71;9.9
18/02/2020;120.0;7.66;0.7;9.9
19/02/2020;121.0;7.66;0.71;9.9
20/02/2020;120.98;7.8;0.72;9.9
21/02/2020;120.05;7.65;0.72;9.9
24/02/2020;120.85;7.43;0.7;9.89
25/02/2020;121.0;7.43;0.69;9.76
26/02/2020;120.5;7.43;0.7;9.87
27/02/2020;120.4;7.39;0.7;10.3
28/02/2020;119.8;7.5;0.71;10.31
02/03/2020;119.6;7.5;0.71;10.3
03/03/2020;119.5;7.48;0.71;10.19
04/03/2020;119.2;7.47;0.7;10.2
05/03/2020;118.0;7.4;0.7;10.16
06/03/2020;115.0;7.34;0.68;10.03
09/03/2020;114.01;7.12;0.67;9.98
10/03/2020;113.49;7.3;0.65;9.7
11/03/2020;113.1;7.35;0.63;9.69
12/03/2020;112.05;7.35;0.63;9.51
13/03/2020;109.0;7.12;0.64;8.96
16/03/2020;103.0;6.91;0.62;8.55
17/03/2020;96.92;6.69;0.61;8.17
18/03/2020;99.8;6.88;0.6;8.35
19/03/2020;102.0;7.07;0.59;8.3
23/03/2020;105.06;7.1;0.59;8.54
24/03/2020;108.21;7.31;0.59;8.79
25/03/2020;108.5;7.5;0.6;8.8
26/03/2020;111.75;7.7;0.59;8.8
27/03/2020;110.0;7.51;0.58;8.8
30/03/2020;110.0;7.5;0.58;8.99
31/03/2020;109.7;7.49;0.58;8.99
01/04/2020;108.6;7.5;0.59;9.15
02/04/2020;105.35;7.49;0.58;8.88
03/04/2020;102.19;7.27;0.57;8.88
06/04/2020;100.01;7.48;0.56;8.88
07/04/2020;102.0;7.26;0.55;9.14
08/04/2020;102.0;7.26;0.54;9.11
13/04/2020;102.0;7.35;0.55;9.1
14/04/2020;101.6;7.26;0.55;9.1
15/04/2020;102.0;7.47;0.54;9.14
16/04/2020;102.0;7.25;0.53;9.15
17/04/2020;102.0;7.04;0.52;9.18
20/04/2020;103.5;7.0;0.53;9.22
21/04/2020;102.5;7.21;0.54;9.1
22/04/2020;102.0;7.0;0.55;8.95
23/04/2020;102.5;7.0;0.55;9.06
24/04/2020;102.01;7.2;0.55;9.1
27/04/2020;103.22;7.2;0.56;9.1
28/04/2020;102.0;7.2;0.55;9.0
29/04/2020;101.5;7.2;0.54;9.14
30/04/2020;101.5;7.0;0.54;9.09
04/05/2020;102.0;6.8;0.53;9.18
05/05/2020;103.8;6.95;0.54;9.19
06/05/2020;103.0;7.14;0.54;9.0
07/05/2020;103.5;7.14;0.54;9.26
08/05/2020;103.0;6.98;0.53;8.99
11/05/2020;103.24;6.98;0.54;8.99
12/05/2020;105.0;6.78;0.54;8.73
13/05/2020;107.9;6.98;0.54;8.99
14/05/2020;108.0;7.0;0.54;9.25
